COVID-19 Vaccinations in the United States
Date generated: Sun Mar 24 2024 14:21:29 GMT-0700 (Pacific Daylight Time)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna J&J or Novavax.
					 'Original' includes primary series and booster vaccine doses that are not updated (bivalent) formulations.

Jurisdiction (State/Territory) or Federal Entity,Total doses distributed,Doses distributed per 100k pop,Doses distributed by jurisdiction per 100k of 18+ pop,Total doses administered by jurisdiction,Doses administered by jurisdiction per 100k pop,Doses administered by jurisdiction to 18+ pop,Doses administered by jurisdiction per 100k of 18+ pop,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with at least one dose,Percent of 18+ pop with at least one dose,Residents with a completed primary series,Percent of total pop with a completed primary series,Residents 18+ with a completed primary series,Percent of 18+ pop with a completed primary series,Total number of original Pfizer doses distributed,Total number of Pfizer updated booster doses distributed,Total number of original Moderna doses distributed,Total number of Moderna updated booster doses distributed,Total number of Janssen doses distributed,Total number of Novavax doses distributed,Total number of doses from other manufacturer distributed,Total number of Janssen doses administered,Total number of original Moderna doses administered,Total number of Moderna updated booster doses administered,Total number of original Pfizer doses administered,Total number of Pfizer updated booster doses administered,Total number of Novavax doses administered,Total number of doses from other manufacturer administered,Residents 65+ with at least one dose,Percent of 65+ pop with at least one dose,Residents 65+ with a completed primary series,Percent of 65+ pop with a completed primary series,Doses administered by jurisdiction to 65+ pop,Doses administered by jurisdiction per 100k of 65+ pop,Doses distributed by jurisdiction per 100k of 65+ pop,Residents 12+ with at least one dose,Percent of 12+ pop with at least one dose,Residents 12+ with a completed primary series,Percent of 12+ pop with a completed primary series,Doses administered by jurisdiction to 12+ pop ,Doses administered by jurisdiction per 100k of 12+ pop,Doses distributed by jurisdiction per 100k of 12+ pop,Residents 5+ with at least one dose,Percent of 5+ pop with at least one dose,Residents 5+ with a completed primary series,Percent of 5+ pop with a completed primary series,Doses administered by jurisdiction to 5+ pop,Doses administered by jurisdiction per 100k of 5+ pop,Doses distributed by jurisdiction per 100k of 5+ pop,Residents with an updated (bivalent) booster dose,Percent of pop with an updated (bivalent) booster dose,Residents 5+ with an updated (bivalent) booster dose,Percent of 5+ pop with an updated (bivalent) booster dose,Residents 12+ with an updated (bivalent) booster dose,Percent of 12+ pop with an updated (bivalent) booster dose,Residents 18+ with an updated (bivalent) booster dose,Percent of 18+ pop with an updated (bivalent) booster dose,Residents 65+ with an updated (bivalent) booster dose,Percent of 65+ pop with an updated (bivalent) booster dose,Children <5 with at least one dose,Total number of updated (bivalent) booster doses administered
District of Columbia,2761525,391290,478119,2137377,302852,1929032,333985,836680,95,735109,95,644085,91.3,569871,95,1425045,N/A,795480,N/A,73200,3600,N/A,44291,687280,N/A,1163291,N/A,253,5755,115713,95,95949,95,401929,460173,3161700,777841,95,602569,95,2023458,331848,452892,820214,95,634700,95,2107001,319058,418171,226857,32.1,226471,34.3,218504,35.8,210681,36.5,50711,58.1,N/A,N/A
Dept of Defense,7782150,N/A,N/A,9424723,N/A,8682623,N/A,4680434,N/A,4292184,N/A,3736516,N/A,3449084,N/A,4629770,N/A,2346340,N/A,210800,39100,N/A,332106,2994321,N/A,5842943,N/A,3956,54224,483348,N/A,256835,N/A,895341,N/A,N/A,4557244,N/A,3657612,N/A,9203945,N/A,N/A,4665452,N/A,3730921,N/A,9397339,N/A,N/A,194050,N/A,193881,N/A,188941,N/A,180910,N/A,35868,N/A,N/A,N/A
Delaware,3352025,344234,435219,2169125,222757,1964981,255129,861811,88.5,770214,95,715787,73.5,641112,83.2,1651775,N/A,1071000,N/A,102600,5800,N/A,63643,747546,N/A,1140624,N/A,196,2633,225182,95,193640,95,709063,375352,1774440,823076,95,686257,81.7,2088591,248699,399142,856096,93.2,713143,77.6,2157007,234701,364729,206412,21.2,206298,22.4,202637,24.1,196313,25.5,101880,53.9,N/A,N/A
Florida,61526685,286467,356722,42267369,196796,39182461,227174,17810446,82.9,16274844,94.4,14971549,69.7,13732833,79.6,31997745,N/A,20028720,N/A,2477700,66700,N/A,1510770,14694355,N/A,23414392,N/A,4392,192600,4944364,95,4244393,94.4,14562698,323807,1368070,17285242,92.5,14571195,77.9,41250721,220639,329090,17757764,87.3,14946304,73.5,42170603,207349,302521,2523056,11.7,2521516,12.4,2494931,13.3,2447806,14.2,1402788,31.2,N/A,N/A
Federated States of Micronesia,291840,285223,437384,209225,204481,143343,214830,86204,84.2,56191,84.2,73692,72,50650,75.9,115460,N/A,127940,N/A,12800,N/A,N/A,13882,106479,N/A,71993,N/A,N/A,177,4254,88.4,3952,82.1,11738,243932,6064840,67471,85.3,60207,76.1,169672,214389,368755,81679,88,72208,77.8,201820,217429,314412,16582,16.2,16575,17.9,14539,18.4,12026,18,1139,23.7,N/A,N/A
Georgia,28727475,270569,354068,17124791,161290,15542310,191560,7287758,68.6,6507679,80.2,6103647,57.5,5494615,67.7,14773655,N/A,9763000,N/A,869100,43400,N/A,349386,6170654,N/A,9413636,N/A,2451,57522,1494072,95,1315992,86.8,4409764,290699,1893760,6998957,77.9,5894565,65.6,16545894,184087,319617,7248684,72.8,6085428,61.1,17045184,171122,288404,1128388,10.6,1126791,11.3,1103841,12.3,1067468,13.2,476297,31.4,N/A,N/A
Guam,387180,229795,338019,400123,237477,342458,298975,159887,94.9,132578,95,144961,86,122016,95,232940,N/A,99980,N/A,25100,900,N/A,13936,119907,N/A,246738,N/A,28,899,18327,95,17124,95,59245,368875,2410680,149092,95,136731,95,379349,288883,294846,159305,95,144751,94.8,399081,261245,253455,18369,10.9,18362,12,17817,13.6,16807,14.7,4534,28.2,N/A,N/A
Hawaii,4677910,330391,419166,3530357,249342,3153134,282538,1297884,91.7,1130020,95,1156808,81.7,1010380,90.5,2369320,N/A,1504020,N/A,124900,4900,N/A,71635,1170728,N/A,1953633,N/A,367,1323,281382,95,258069,95,1001776,373173,1742580,1221060,95,1092826,90.2,3366686,277984,386250,1285596,95,1150133,86.4,3506419,263511,351550,322777,22.8,322332,24.2,314619,26,303566,27.2,142548,53.1,N/A,N/A
Iowa,9429185,298858,388315,6131087,194325,5562759,229087,2235485,70.9,1985432,81.8,2036465,64.5,1818244,74.9,4577895,N/A,3077920,N/A,293100,23100,N/A,181047,2170983,N/A,3132670,N/A,789,2821,564406,95,532779,95,2010678,363625,1705240,2126967,79.5,1945875,72.7,5891253,220128,352324,2215662,74.9,2024863,68.4,6087851,205710,318614,633634,20.1,632860,21.4,619790,23.2,599083,24.7,308886,55.9,N/A,N/A
Idaho,4751720,265895,354907,2894361,161962,2645579,197599,1146055,64.1,1028166,76.8,1012257,56.6,909671,67.9,2346190,N/A,1604380,N/A,160200,17300,N/A,90942,994144,N/A,1550669,N/A,594,5950,287593,95,263280,90.6,920782,316779,1634750,1100797,73.6,975039,65.2,2801658,187351,317754,1139488,68.2,1008843,60.4,2880969,172424,284387,248989,13.9,248845,14.9,244180,16.3,236353,17.7,122934,42.3,N/A,N/A
Indian Health Svc,4122405,197925,N/A,2570629,123421,2228916,N/A,1167147,56,1000549,N/A,920622,44.2,793445,N/A,1950935,N/A,1529280,N/A,111800,8600,N/A,42019,1098589,N/A,1250127,N/A,76,1168,187315,N/A,148744,N/A,480149,N/A,N/A,1100365,N/A,873670,N/A,2439831,N/A,N/A,1157944,N/A,917622,N/A,2553859,N/A,N/A,176909,8.5,176595,N/A,168924,N/A,155957,N/A,47681,N/A,N/A,N/A
Illinois,38328915,302474,388970,26859342,211961,23826876,241800,10036899,79.2,8697081,88.3,9054864,71.5,7874806,79.9,19851535,N/A,11169140,N/A,1185600,33800,N/A,689550,8560137,N/A,14943920,N/A,2673,39381,2011136,95,1865350,91.3,6957565,340518,1875900,9419010,86.9,8534152,78.7,25513199,235409,353659,9928857,83.3,8988132,75.4,26634969,223356,321420,2574148,20.3,2565334,21.5,2493575,23,2397509,24.3,1015847,49.7,N/A,N/A
Indiana,18989660,282071,367714,11201087,166380,10195732,197429,4350210,64.6,3879228,75.1,3896474,57.9,3511518,68,10052520,N/A,5571300,N/A,634000,12700,N/A,318269,3752983,N/A,6321772,N/A,709,42718,1046568,95,976073,89.9,3437978,316647,1749000,4152915,72.8,3752153,65.8,10805706,189406,332858,4321434,68.4,3886503,61.6,11150800,176608,300761,754959,11.2,754936,12,739887,13,716361,13.9,364685,33.6,N/A,N/A
Kansas,8356725,286846,377609,5387922,184941,4814170,217534,2229631,76.5,1959273,88.5,1909898,65.6,1688660,76.3,4161795,N/A,2757140,N/A,262700,22600,N/A,139593,1863930,N/A,2904760,N/A,783,10770,513572,95,462691,95,1591481,334705,1757510,2112940,86.2,1820505,74.3,5147540,209958,340855,2209027,81,1898540,69.6,5343759,195887,306333,462733,15.9,462110,16.9,450937,18.4,433925,19.6,213868,45,N/A,N/A
Kentucky,12200975,273095,352141,7510137,168100,6888439,198812,3086324,69.1,2786760,80.4,2669260,59.7,2420948,69.9,5909535,N/A,4310000,N/A,395600,15100,N/A,241674,2835274,N/A,3859727,N/A,486,2788,750781,95,671775,89.5,2268519,302242,1625570,2968160,78,2577615,67.7,7272769,191079,320558,3069983,73.2,2661099,63.4,7476385,178219,290841,563326,12.6,562849,13.4,554603,14.6,540346,15.6,276605,36.9,N/A,N/A
Louisiana,10282120,221178,288729,6961453,149748,6443990,180952,2924163,62.9,2656169,74.6,2561641,55.1,2350247,66,5164550,N/A,3807980,N/A,330500,10100,N/A,202173,2685630,N/A,3705194,N/A,719,3970,687335,92.8,647350,87.4,2090638,282129,1387560,2833936,72.2,2497575,63.7,6796682,173238,262077,2915981,67.1,2558038,58.8,6945414,159763,236516,359527,7.7,359506,8.3,356199,9.1,349934,9.8,184844,24.9,N/A,N/A
Massachusetts,23747420,344540,428677,18179748,263761,16126195,291102,7393770,95,6464420,95,5825021,84.5,5087207,91.8,11662830,N/A,7490080,N/A,633500,15100,N/A,409235,6252669,N/A,9308997,N/A,1392,471,1549552,95,1229041,95,4582382,391880,2030850,6947787,95,5480791,91.1,17227811,286331,394689,7306432,95,5770765,88.3,17999996,275434,363380,2138436,31,2129062,32.6,2057018,34.2,1958126,35.3,760442,65,N/A,N/A
Maryland,22359840,369848,474631,14722268,243517,12954316,274981,5566178,92.1,4794516,95,4835390,80,4174362,88.6,11814000,N/A,6422360,N/A,616400,40800,N/A,371142,4782619,N/A,8029436,N/A,3367,26318,1057586,95,954352,95,3637887,379185,2330620,5210024,95,4540602,87.9,13938360,269972,433088,5500247,95,4794005,84.3,14577162,256471,393400,1477280,24.4,1471726,25.9,1426781,27.6,1363452,28.9,544230,56.7,N/A,N/A
Maine,4981040,370555,454736,3542346,263526,3221208,294075,1315892,95,1180736,95,1124112,83.6,1006201,91.9,2361030,N/A,1595120,N/A,159400,7600,N/A,145441,1272222,N/A,1683208,N/A,418,5959,366916,95,303658,95,1203849,422011,1746110,1252248,95,1070587,90.3,3397619,286734,420364,1303033,95,1116192,87.2,3513130,274319,388939,419727,31.2,419099,32.7,409244,34.5,395753,36.1,203204,71.2,N/A,N/A
Marshall Islands,162240,208693,341349,101838,130997,73956,155602,44709,57.5,29361,61.8,36066,46.4,26061,54.8,53540,N/A,74500,N/A,12800,1100,N/A,3101,67109,N/A,24980,N/A,N/A,5,1628,43.6,1463,39.2,4741,127036,4347270,35437,61.8,30627,53.4,86362,150538,282801,42001,60.7,34984,50.6,97824,141368,234458,6193,8,6089,8.8,5539,9.7,4793,10.1,375,10,N/A,N/A
Michigan,29638290,296773,377898,18769116,187938,17096779,217990,6979192,69.9,6247110,79.7,6254485,62.6,5615530,71.6,14452250,N/A,9925120,N/A,967800,34900,N/A,473397,6666056,N/A,9825119,N/A,2007,6302,1756102,95,1615024,91.5,5835911,330571,1678840,6654690,77.4,5984396,69.6,18057078,210088,344832,6921128,73.5,6221234,66,18642433,197894,314618,1802910,18.1,1799688,19.1,1760141,20.5,1704974,21.7,833254,47.2,N/A,N/A
Minnesota,18519240,328377,427057,12829141,227482,11347972,261687,4461994,79.1,3840198,88.6,4082263,72.4,3533102,81.5,9468070,N/A,5378420,N/A,511500,19600,N/A,361767,4065832,N/A,6845790,N/A,1254,8594,975356,95,919278,95,3643197,395835,2012130,4143519,86.7,3818740,79.9,12114369,253540,387587,4390824,83,4039371,76.4,12676218,239716,350212,1510743,26.8,1507103,28.5,1457429,30.5,1393606,32.1,597554,64.9,N/A,N/A
Missouri,15654225,255062,328398,10509024,171228,9580236,200977,4269469,69.6,3827858,80.3,3634453,59.2,3276112,68.7,7967645,N/A,5140460,N/A,441000,22500,N/A,254304,3452340,N/A,5870423,N/A,1093,2741,1058140,95,943084,88.8,3273905,308267,1473980,4082773,78,3493438,66.7,10127536,193432,298989,4236460,73.4,3615520,62.7,10436670,180899,271334,912761,14.9,911358,15.8,892788,17.1,867125,18.2,437570,41.2,N/A,N/A
Northern Mariana Islands,152250,293630,422037,118647,228823,95339,264280,46858,90.4,36233,95,44044,84.9,34479,95,108950,N/A,28020,N/A,3700,200,N/A,1399,15548,N/A,96661,N/A,1,9,3301,87.9,3157,84.1,10096,268940,4055670,41697,95,39677,93.8,108250,255971,360014,46391,95,43912,91.3,117751,244794,316515,4949,9.5,4936,10.3,4627,10.9,4180,11.6,821,21.9,N/A,N/A
Mississippi,7252325,243682,318424,4307637,144739,3979870,174742,1839306,61.8,1670753,73.4,1600364,53.8,1462932,64.2,3695395,N/A,2600260,N/A,235400,8900,N/A,95796,1648142,N/A,2353860,N/A,327,4753,457131,93.9,419847,86.3,1336695,274648,1490120,1786974,70.9,1560115,61.9,4208381,166905,287628,1835283,65.7,1598993,57.3,4300704,154000,259691,201659,6.8,201658,7.2,200079,7.9,196419,8.6,111149,22.8,N/A,N/A
Montana,2714785,254008,323116,1870288,174993,1716298,204275,731323,68.4,657746,78.3,633531,59.3,574244,68.3,1267535,N/A,952100,N/A,106500,7400,N/A,62623,712368,N/A,919429,N/A,257,2632,205131,95,184619,89.4,650230,314977,1315070,699363,76.2,610146,66.5,1807283,196958,295858,726052,72.1,631474,62.7,1860918,184684,269425,171863,16.1,171859,17.1,168621,18.4,163903,19.5,86927,42.1,N/A,N/A
North Carolina,30278310,288692,369817,19434544,185301,17562898,214512,9456334,90.2,8479938,95,7018862,66.9,6316324,77.1,15371580,N/A,9753880,N/A,959600,49400,N/A,524780,6639511,N/A,10657390,N/A,1782,1582,2366178,95,1811611,95,5615802,320702,1729110,9047747,95,6737636,75,18654494,207606,336968,9392711,95,6987602,70.7,19307953,195458,306513,1559489,14.9,1556847,15.8,1521473,16.9,1468583,17.9,692266,39.5,N/A,N/A
North Dakota,1910860,250749,328388,1314469,172488,1185548,203741,530640,69.6,473653,81.4,448757,58.9,403968,69.4,990720,N/A,600920,N/A,53600,2800,N/A,40028,430115,N/A,713997,N/A,219,345,127584,95,110011,91.8,387008,322924,1594440,503578,79,429396,67.4,1253917,196771,299862,524966,74.2,446460,63.1,1302373,183961,269910,120679,15.8,120653,17,117294,18.4,112872,19.4,56881,47.5,N/A,N/A
Nebraska,5481710,283379,375889,3822190,197590,3412154,233976,1425923,73.7,1244223,85.3,1286860,66.5,1128474,77.4,2905630,N/A,1647380,N/A,152400,7400,N/A,96449,1240872,N/A,2124748,N/A,515,10726,318755,95,297818,95,1117112,357524,1754380,1345134,83.2,1219736,75.4,3647301,225503,338919,1412159,78.3,1278092,70.9,3793971,210364,303944,341699,17.7,340508,18.9,332054,20.5,319161,21.9,151146,48.4,N/A,N/A
New Hampshire,5121800,376683,463739,2983122,219394,2721160,246380,1203845,88.5,1083058,95,982565,72.3,891141,80.7,2624840,N/A,1454740,N/A,189000,4900,N/A,90682,1006113,N/A,1545932,N/A,331,555,304648,95,257396,95,914147,360093,2017540,1152503,95,946332,79,2883057,240542,427326,1194903,92.2,977652,75.4,2965331,228791,395173,324807,23.9,324221,25,317903,26.5,307435,27.8,149093,58.7,N/A,N/A
New Jersey,29637655,333675,426833,19826065,223211,17720714,255209,8430561,94.9,7428235,95,7043583,79.3,6195423,89.2,15503585,N/A,9139940,N/A,1015900,45900,N/A,585911,6898332,N/A,10829193,N/A,1999,616,1686625,95,1439157,95,4884208,331013,2008600,8011957,95,6701732,88,18992682,249301,389029,8374653,95,7008596,83.8,19716033,235626,354200,1520014,17.1,1517614,18.1,1485382,19.5,1434973,20.7,607360,41.2,N/A,N/A
New Mexico,6176205,294550,381014,4750638,226563,4243020,261755,1989307,94.9,1734038,95,1582545,75.5,1385236,85.5,3002385,N/A,2020200,N/A,190600,8200,N/A,121648,1723536,N/A,2408481,N/A,2876,18011,466822,95,381631,95,1367539,362160,1635620,1878915,95,1503820,84.1,4542727,254148,345535,1973116,95,1575380,79.7,4720881,238930,312586,468193,22.3,467615,23.7,456114,25.5,437622,27,201311,53.3,N/A,N/A
Nevada,7722770,250727,323465,5590682,181506,5107791,213937,2400362,77.9,2159219,90.4,1966594,63.8,1777961,74.5,4208770,N/A,2313400,N/A,260400,8200,N/A,189065,1769482,N/A,3214977,N/A,680,727,518532,95,442765,89.3,1506132,303673,1557100,2317311,88.4,1903207,72.6,5427381,207010,294560,2392442,82.7,1962621,67.8,5574740,192592,266801,403631,13.1,403450,13.9,396998,15.1,386509,16.2,185325,37.4,N/A,N/A
New York State,61302975,315125,397419,45177512,232233,40751830,264189,18427712,94.7,16376545,95,15763340,81,14013838,90.8,32657655,N/A,18769880,N/A,1964500,42500,N/A,1461349,15024429,N/A,25120805,N/A,4306,48869,3630599,95,3195894,95,11021128,334364,1859840,17549952,95,15041636,89.7,43358022,258496,365481,18297040,95,15686124,85.6,44905087,245027,334503,3440156,17.7,3434920,18.7,3361362,20,3256415,21.1,1408987,42.7,N/A,N/A
Ohio,31703485,271223,347966,21104771,180551,19234406,211110,7707458,65.9,6890055,75.6,7089473,60.7,6367505,69.9,16355895,N/A,10088440,N/A,1014000,31700,N/A,639003,7247700,N/A,11254634,N/A,2263,25125,1939194,94.8,1834185,89.6,6672444,326070,1549290,7345998,73.5,6787142,67.9,20307727,203063,317013,7639577,69.5,7048249,64.1,20953686,190518,288259,1899134,16.2,1896883,17.2,1853431,18.5,1794636,19.7,896254,43.8,N/A,N/A
Oklahoma,9702330,245196,322902,6773461,171178,6207317,206585,2961991,74.9,2678928,89.2,2399774,60.6,2173211,72.3,4611140,N/A,3591280,N/A,342300,33200,N/A,158040,2523208,N/A,3591243,N/A,1004,13890,715240,95,594390,93.6,1994224,313986,1527610,2864254,86.1,2325996,70,6583778,197995,291780,2950731,79.7,2394480,64.7,6752479,182429,262123,480004,12.1,479528,13,472540,14.2,459985,15.3,240935,37.9,N/A,N/A
Oregon,14222125,337198,424392,9399175,222849,8453948,252268,3459096,82,3050698,91,3065513,72.7,2726093,81.3,7060535,N/A,4482360,N/A,466700,25900,N/A,279663,3129879,N/A,4982450,N/A,1452,24978,786172,95,723687,94.5,2698104,352196,1856480,3267521,89.6,2921883,80.1,8983058,246262,389886,3420770,85.7,3048791,76.4,9326386,233748,356451,948393,22.5,944587,23.7,913832,25.1,874306,26.1,371182,48.5,N/A,N/A
Pennsylvania,42895735,335071,421896,27586432,215486,24920539,245103,11666613,91.1,10426239,95,9444480,73.8,8447352,83.1,21178525,N/A,13941120,N/A,1569200,87400,N/A,803739,9697012,N/A,14573866,N/A,2443,1981,2919117,95,2445124,95,8490730,354762,1792280,11109272,95,9003735,81.2,26407167,238299,387092,11562144,95,9373738,77.4,27360998,226048,354391,2413787,18.9,2404885,19.9,2349980,21.2,2271654,22.3,1105455,46.2,N/A,N/A
Puerto Rico,8842720,276881,337384,7846764,245696,6912278,263730,2905470,91,2499147,95,2688410,84.2,2320780,88.5,5014090,N/A,2843120,N/A,216600,2100,N/A,151708,2838326,N/A,4517484,N/A,99,293,651986,95,609039,89.6,2052439,301982,1301060,2720083,95,2528614,88.8,7487076,262862,310457,2898937,94.2,2686131,87.3,7835276,254705,287455,336528,10.5,336483,10.9,333325,11.7,326906,12.5,165792,24.4,N/A,N/A
Republic of Palau,52580,244195,317072,51971,241366,45216,272665,20801,95,17737,95,18557,86.2,15957,95,14390,N/A,30900,N/A,3800,N/A,N/A,2365,37949,N/A,9397,N/A,N/A,249,1885,94.6,1818,91.3,5682,285241,2639560,19280,95,17422,93.4,49016,262891,282006,20732,95,18537,91,51842,254464,258087,2012,9.3,2012,9.9,1946,10.4,1831,11,311,15.6,N/A,N/A
Rhode Island,3531485,333360,413104,2672092,252236,2410118,281929,1126779,95,993240,95,932541,88,819194,95,1754745,N/A,1154400,N/A,90600,4500,N/A,67226,917211,N/A,1417266,N/A,494,3117,235273,95,200777,95,734141,392492,1888030,1065257,95,881654,95,2562457,276278,380757,1117840,95,926851,92.2,2653380,264060,351447,274250,25.9,273693,27.2,267636,28.9,258452,30.2,112605,60.2,N/A,N/A
